Ilmatieteen_laitos Meteorologiska_institutet Finnish_Meteorological_Institute 2013  
Aika-askel Vuosi Kuukausi Päivä Aika Lämpötila(°C) Suhteellinen_kosteus(%) Tuulen_nopeus(m/s) Tuulen_suunta(astetta) Kokonaissäteily_vaakapinnalle(W/m2) Hajasäteily_vaakapinnalle(W/m2) Suora_säteily_kohtisuoralle_pinnalle(W/m2) Sademäärä(mm/h) 
Tidssteg År Månad Dag Tid Temperatur(°C) Relativ_fuktighet(%) Vindhastighet(m/s) Vindriktning(grader) Global_strålning_på_vågrät_yta(W/m2) Diffus_strålning_på_vågrät_yta(W/m2) Direkt_strålning_på_normalyta(W/m2) Nederbörd(mm/h) 
Timestep Year Month Day Time Temperature(°C) Relative_humidity(%) Wind_speed(m/s) Wind_direction(degrees) Global_horisontal_radiation(W/m2) Diffuse_horisontal_radiation(W/m2) Direct_normal_solar_radiation(W/m2) Precipitation(mm/h)
#    STEP    YEAR    MONTH     DAY     HOUR     T      RH             WS      WD      Rglob   Rdiff   Rnorm  Precip
     129    2100       1       6       8     1.4    98.1    3.90   194.3     0.0     0.0     0.0    0.01
     130    2100       1       6       9     1.5    98.3    3.90   194.3     0.0     0.0     0.0    0.04
     131    2100       1       6      10     1.6    98.5    3.90   194.3     3.4     3.4     0.0    0.04
     132    2100       1       6      11     1.7    98.7    3.90   194.3    14.7    14.7     0.0    0.04
     133    2100       1       6      12     1.9    98.7    3.90   194.3    25.2    25.2     0.0    0.04
     134    2100       1       6      13     2.1    98.8    3.90   194.3    29.9    29.9     0.0    0.10
     135    2100       1       6      14     2.3    98.8    3.90   194.3    30.9    30.9     0.0    0.04
     136    2100       1       6      15     2.3    99.1    3.90   194.3    18.9    18.9     0.0    0.04
     137    2100       1       6      16     2.4    99.4    3.76   186.8     4.1     4.1     0.0    0.04
     138    2100       1       6      17     2.4    99.7    3.76   186.8     0.0     0.0     0.0    0.04
     139    2100       1       6      18     2.3    99.6    3.76   186.8     0.0     0.0     0.0    0.01
     140    2100       1       6      19     2.0    99.4    3.42   171.1     0.0     0.0     0.0    0.00
     141    2100       1       6      20     1.9    99.3    3.42   171.1     0.0     0.0     0.0    0.00
     142    2100       1       6      21     1.8    99.5    3.70   169.5     0.0     0.0     0.0    0.00
     143    2100       1       6      22     1.6    99.7    4.08   167.6     0.0     0.0     0.0    0.00
     144    2100       1       6      23     1.5    99.8    4.37   166.4     0.0     0.0     0.0    0.00
     145    2100       1       7       0     1.8    99.4    4.37   166.4     0.0     0.0     0.0    0.01
     146    2100       1       7       1     2.3    98.9    4.55   175.0     0.0     0.0     0.0    0.01
     147    2100       1       7       2     2.6    98.5    4.55   175.0     0.0     0.0     0.0    0.01
     148    2100       1       7       3     2.8    98.3    4.84   174.1     0.0     0.0     0.0    0.01
     149    2100       1       7       4     3.1    97.9    5.55   190.0     0.0     0.0     0.0    0.01
     150    2100       1       7       5     3.3    97.7    5.85   189.5     0.0     0.0     0.0    0.01
     151    2100       1       7       6     3.1    97.7    5.85   189.5     0.0     0.0     0.0    0.01
     152    2100       1       7       7     2.8    97.6    5.52   172.3     0.0     0.0     0.0    0.01
     153    2100       1       7       8     2.6    97.6    5.52   172.3     0.0     0.0     0.0    0.01
     154    2100       1       7       9     2.3    97.7    5.23   173.0     0.0     0.0     0.0    0.00
     155    2100       1       7      10     2.1    97.6    4.84   174.1     5.6     5.6     0.0    0.00
     156    2100       1       7      11     1.8    97.6    4.55   175.0    32.0    23.8    92.3    0.00
     157    2100       1       7      12     2.3    96.2    5.23   173.0    61.5    41.2   174.2    0.00
     158    2100       1       7      13     2.6    94.9    5.99   180.5    57.7    49.9    66.6    0.00
     159    2100       1       7      14     3.0    93.5    6.67   179.4    37.4    37.4     0.0    0.00
     160    2100       1       7      15     3.0    93.8    6.67   179.4    20.5    20.5     0.0    0.00
     161    2100       1       7      16     3.0    94.1    6.67   179.4     5.4     5.4     0.0    0.00
     162    2100       1       7      17     3.0    94.4    6.67   179.4     0.0     0.0     0.0    0.00
     163    2100       1       7      18     2.9    93.6    6.67   179.4     0.0     0.0     0.0    0.00
     164    2100       1       7      19     2.9    92.8    6.83   188.1     0.0     0.0     0.0    0.00
     165    2100       1       7      20     2.8    91.9    6.83   188.1     0.0     0.0     0.0    0.00
     166    2100       1       7      21     2.7    92.1    7.12   187.8     0.0     0.0     0.0    0.00
     167    2100       1       7      22     2.5    92.2    7.52   187.4     0.0     0.0     0.0    0.00
     168    2100       1       7      23     2.4    92.4    7.81   187.1     0.0     0.0     0.0    0.00
     169    2100       1       8       0     2.3    93.5    7.12   187.8     0.0     0.0     0.0    0.00
     170    2100       1       8       1     2.2    94.5    6.38   179.8     0.0     0.0     0.0    0.00
     171    2100       1       8       2     2.0    95.5    5.69   181.0     0.0     0.0     0.0    0.00
     172    2100       1       8       3     2.0    95.8    5.69   181.0     0.0     0.0     0.0    0.00
     173    2100       1       8       4     2.1    96.1    5.85   189.5     0.0     0.0     0.0    0.00
     174    2100       1       8       5     2.1    96.4    5.85   189.5     0.0     0.0     0.0    0.00
     175    2100       1       8       6     2.3    96.2    5.85   189.5     0.0     0.0     0.0    0.00
     176    2100       1       8       7     2.3    96.1    5.69   181.0     0.0     0.0     0.0    0.00
     177    2100       1       8       8     2.5    96.0    5.69   181.0     0.0     0.0     0.0    0.00
     178    2100       1       8       9     2.5    96.0    5.99   180.5     0.0     0.0     0.0    0.47
     179    2100       1       8      10     2.5    95.9    6.38   179.8     1.5     1.5     0.0    0.18
     180    2100       1       8      11     2.5    95.9    6.67   179.4     6.3     6.3     0.0    0.15
     181    2100       1       8      12     2.6    95.8    6.38   179.8    14.8    14.8     0.0    0.15
     182    2100       1       8      13     2.6    95.8    6.14   189.0    17.1    17.1     0.0    0.21
     183    2100       1       8      14     2.7    95.7    5.85   189.5    11.3    11.3     0.0    0.18
     184    2100       1       8      15     2.6    96.1    5.55   190.0     7.9     7.9     0.0    0.10
     185    2100       1       8      16     2.6    96.4    5.01   182.5     2.7     2.7     0.0    0.38
     186    2100       1       8      17     2.5    96.8    4.72   183.3     0.0     0.0     0.0    0.33
     187    2100       1       8      18     2.7    96.4    4.72   183.3     0.0     0.0     0.0    0.26
     188    2100       1       8      19     2.7    95.9    5.00   199.3     0.0     0.0     0.0    0.15
     189    2100       1       8      20     2.9    95.5    5.00   199.3     0.0     0.0     0.0    0.07
     190    2100       1       8      21     2.9    95.8    5.00   199.3     0.0     0.0     0.0    0.03
     191    2100       1       8      22     2.8    96.2    5.00   199.3     0.0     0.0     0.0    0.03
     192    2100       1       8      23     2.8    96.5    5.00   199.3     0.0     0.0     0.0    0.00
     193    2100       1       9       0     2.8    96.7    4.70   199.9     0.0     0.0     0.0    0.00
     194    2100       1       9       1     2.7    97.2    3.89   177.7     0.0     0.0     0.0    0.07
     195    2100       1       9       2     2.7    97.4    3.60   179.1     0.0     0.0     0.0    0.07
     196    2100       1       9       3     2.7    97.3    3.60   179.1     0.0     0.0     0.0    0.07
     197    2100       1       9       4     2.5    97.1    3.02   154.1     0.0     0.0     0.0    0.00
     198    2100       1       9       5     2.5    96.9    3.02   154.1     0.0     0.0     0.0    0.00
     199    2100       1       9       6     2.4    97.9    3.02   154.1     0.0     0.0     0.0    0.00
     200    2100       1       9       7     2.3    98.8    3.42   171.1     0.0     0.0     0.0    0.00
     201    2100       1       9       8     2.3    99.8    3.42   171.1     0.0     0.0     0.0    0.00
     202    2100       1       9       9     2.3    99.8    3.42   171.1     0.0     0.0     0.0    0.00
     203    2100       1       9      10     2.3    99.8    3.42   171.1     2.7     2.7     0.0    0.00
     204    2100       1       9      11     2.3    99.8    3.42   171.1    11.7    11.7     0.0    0.00
     205    2100       1       9      12     1.9   100.0    3.15   173.1    29.5    29.5     0.0    0.00
     206    2100       1       9      13     1.6   100.0    2.79   176.3    39.0    39.0     0.0    0.00
     207    2100       1       9      14     1.3   100.0    2.52   179.3    29.0    29.0     0.0    0.00
     208    2100       1       9      15     1.0   100.0    2.52   179.3    17.4    17.4     0.0    0.00
     209    2100       1       9      16     0.7   100.0    2.35   172.3     4.7     4.7     0.0    0.00
     210    2100       1       9      17     0.4   100.0    2.35   172.3     0.0     0.0     0.0    0.00
     211    2100       1       9      18     0.1   100.0    2.60   168.8     0.0     0.0     0.0    0.00
     212    2100       1       9      19    -0.2    99.9    2.75   156.6     0.0     0.0     0.0    0.00
     213    2100       1       9      20    -0.4    99.6    3.02   154.1     0.0     0.0     0.0    0.00
     214    2100       1       9      21    -0.6    99.5    3.02   154.1     0.0     0.0     0.0    0.00
     215    2100       1       9      22    -0.6    99.4    2.37   123.8     0.0     0.0     0.0    0.00
     216    2100       1       9      23    -0.8    99.3    2.37   123.8     0.0     0.0     0.0    0.00
     217    2100       1      10       0    -1.3    98.7    2.10   127.1     0.0     0.0     0.0    0.00
     218    2100       1      10       1    -1.9    98.2    1.76   133.0     0.0     0.0     0.0    0.00
     219    2100       1      10       2    -2.4    97.7    1.52   139.1     0.0     0.0     0.0    0.00
     220    2100       1      10       3    -3.2    97.0    1.52   139.1     0.0     0.0     0.0    0.00
     221    2100       1      10       4    -4.0    96.2    1.74   148.6     0.0     0.0     0.0    0.00
     222    2100       1      10       5    -4.7    95.5    1.74   148.6     0.0     0.0     0.0    0.00
     223    2100       1      10       6    -5.4    94.9    1.74   148.6     0.0     0.0     0.0    0.00
     224    2100       1      10       7    -6.1    94.2    1.74   148.6     0.0     0.0     0.0    0.00
     225    2100       1      10       8    -6.8    93.6    1.74   148.6     0.0     0.0     0.0    0.00
     226    2100       1      10       9    -5.1    95.2    1.74   148.6     0.0     0.0     0.0    0.00
     227    2100       1      10      10    -3.4    96.7    2.35   172.3     4.3     4.3     0.0    0.00
     228    2100       1      10      11    -1.7    98.3    2.35   172.3    16.2    16.2     0.0    0.00
     229    2100       1      10      12    -1.5    98.6    2.35   172.3    28.6    28.6     0.0    0.00
     230    2100       1      10      13    -1.2    98.8    2.95   199.0    32.0    32.0     0.0    0.00
     231    2100       1      10      14    -1.0    99.1    2.95   199.0    25.9    25.9     0.0    0.00
     232    2100       1      10      15    -1.0    99.1    2.95   199.0    15.1    15.1     0.0    0.00
     233    2100       1      10      16    -1.0    99.0    3.05   205.3     4.5     4.5     0.0    0.00
     234    2100       1      10      17    -1.0    99.0    3.05   205.3     0.0     0.0     0.0    0.00
     235    2100       1      10      18    -1.1    98.9    3.05   205.3     0.0     0.0     0.0    0.00
     236    2100       1      10      19    -1.1    98.9    2.83   192.6     0.0     0.0     0.0    0.00
     237    2100       1      10      20    -1.2    98.9    2.83   192.6     0.0     0.0     0.0    0.00
     238    2100       1      10      21    -1.2    98.8    2.83   192.6     0.0     0.0     0.0    0.00
     239    2100       1      10      22    -1.2    98.8    2.68   186.1     0.0     0.0     0.0    0.00
     240    2100       1      10      23    -1.3    98.7    2.68   186.1     0.0     0.0     0.0    0.00
     241    2100       1      11       0    -1.3    98.7    2.42   189.1     0.0     0.0     0.0    0.00
     242    2100       1      11       1    -1.3    98.7    2.39   209.8     0.0     0.0     0.0    0.00
     243    2100       1      11       2    -1.3    98.7    2.11   212.5     0.0     0.0     0.0    0.00
     244    2100       1      11       3    -1.2    98.8    2.39   209.8     0.0     0.0     0.0    0.00
     245    2100       1      11       4    -1.2    97.6    2.27   183.0     0.0     0.0     0.0    0.00
     246    2100       1      11       5    -1.2    96.4    2.52   179.3     0.0     0.0     0.0    0.00
     247    2100       1      11       6    -1.0    96.6    2.79   176.3     0.0     0.0     0.0    0.00
     248    2100       1      11       7    -0.8    97.0    3.15   173.1     0.0     0.0     0.0    0.00
     249    2100       1      11       8    -0.7    97.2    3.42   171.1     0.0     0.0     0.0    0.00
     250    2100       1      11       9    -0.6    97.2    3.42   171.1     0.0     0.0     0.0    0.00
     251    2100       1      11      10    -0.4    97.1    3.23   162.8     2.5     2.5     0.0    0.00
     252    2100       1      11      11    -0.3    97.1    3.23   162.8    11.3    11.3     0.0    0.00
     253    2100       1      11      12    -0.1    97.3    3.23   162.8    23.4    23.4     0.0    0.00
     254    2100       1      11      13     0.1    97.5    3.60   179.1    27.0    27.0     0.0    0.00
     255    2100       1      11      14     0.3    97.6    3.60   179.1    18.5    18.5     0.0    0.00
     256    2100       1      11      15     0.3    97.9    3.60   179.1    10.6    10.6     0.0    0.00
     257    2100       1      11      16     0.2    98.4    3.42   171.1     3.4     3.4     0.0    0.00
     258    2100       1      11      17     0.1    98.8    3.42   171.1     0.0     0.0     0.0    0.00
     259    2100       1      11      18     0.1    99.1    3.15   173.1     0.0     0.0     0.0    0.00
     260    2100       1      11      19     0.0    99.6    2.96   183.5     0.0     0.0     0.0    0.00
     261    2100       1      11      20    -0.1    99.9    2.68   186.1     0.0     0.0     0.0    0.00
     262    2100       1      11      21     0.1    99.5    3.32   180.8     0.0     0.0     0.0    0.03
     263    2100       1      11      22     0.1    99.0    3.51   161.0     0.0     0.0     0.0    0.03
     264    2100       1      11      23     0.3    98.6    4.16   157.5     0.0     0.0     0.0    0.03
     265    2100       1      12       0     0.2    99.3    4.16   157.5     0.0     0.0     0.0    0.02
     266    2100       1      12       1     0.2    99.9    4.16   157.5     0.0     0.0     0.0    0.02
     267    2100       1      12       2     0.1   100.0    4.16   157.5     0.0     0.0     0.0    0.02
