Ilmatieteen_laitos Meteorologiska_institutet Finnish_Meteorological_Institute 2013  
Aika-askel Vuosi Kuukausi Päivä Aika Lämpötila(°C) Suhteellinen_kosteus(%) Tuulen_nopeus(m/s) Tuulen_suunta(astetta) Kokonaissäteily_vaakapinnalle(W/m2) Hajasäteily_vaakapinnalle(W/m2) Suora_säteily_kohtisuoralle_pinnalle(W/m2) Sademäärä(mm/h) 
Tidssteg År Månad Dag Tid Temperatur(°C) Relativ_fuktighet(%) Vindhastighet(m/s) Vindriktning(grader) Global_strålning_på_vågrät_yta(W/m2) Diffus_strålning_på_vågrät_yta(W/m2) Direkt_strålning_på_normalyta(W/m2) Nederbörd(mm/h) 
Timestep Year Month Day Time Temperature(°C) Relative_humidity(%) Wind_speed(m/s) Wind_direction(degrees) Global_horisontal_radiation(W/m2) Diffuse_horisontal_radiation(W/m2) Direct_normal_solar_radiation(W/m2) Precipitation(mm/h)
#    STEP    YEAR    MONTH     DAY     HOUR     T      RH             WS      WD      Rglob   Rdiff   Rnorm  Precip
     169    2100       1       8       0     8.6    97.8    5.86   195.0     0.0     0.0     0.0    0.46
     170    2100       1       8       1     8.6    98.2    5.34   186.9     0.0     0.0     0.0    0.27
     171    2100       1       8       2     8.7    98.4    5.02   187.3     0.0     0.0     0.0    0.27
     172    2100       1       8       3     8.7    97.8    5.34   186.9     0.0     0.0     0.0    0.27
     173    2100       1       8       4     8.8    97.4    5.86   195.0     0.0     0.0     0.0    0.00
     174    2100       1       8       5     8.8    96.8    6.18   194.7     0.0     0.0     0.0    0.00
     175    2100       1       8       6     8.9    96.8    6.92   194.2     0.0     0.0     0.0    0.00
     176    2100       1       8       7     9.0    96.8    7.56   193.9     0.0     0.0     0.0    0.00
     177    2100       1       8       8     9.1    96.8    8.31   193.5     0.0     0.0     0.0    0.18
     178    2100       1       8       9     9.1    97.4    8.31   193.5     0.0     0.0     0.0    0.37
     179    2100       1       8      10     9.1    97.8    8.31   193.5     0.6     0.6     0.0    0.27
     180    2100       1       8      11     9.2    98.4    8.31   193.5     3.9     3.9     0.0    0.00
     181    2100       1       8      12     9.4    98.6    7.56   193.9     6.9     6.9     0.0    0.00
     182    2100       1       8      13     9.6    99.0    6.99   203.0    11.8    11.8     0.0    0.00
     183    2100       1       8      14     9.8    99.2    6.24   203.3     6.3     6.3     0.0    0.00
     184    2100       1       8      15     9.8    99.2    6.99   203.0     4.9     4.9     0.0    0.00
     185    2100       1       8      16     9.8    99.2    7.56   193.9     0.6     0.6     0.0    0.00
     186    2100       1       8      17     9.8    99.2    8.31   193.5     0.0     0.0     0.0    0.00
     187    2100       1       8      18     9.9    99.2    8.31   193.5     0.0     0.0     0.0    0.00
     188    2100       1       8      19     9.9    99.2    8.38   202.5     0.0     0.0     0.0    0.00
     189    2100       1       8      20    10.0    99.2    8.38   202.5     0.0     0.0     0.0    0.00
     190    2100       1       8      21    10.0    99.0    8.38   202.5     0.0     0.0     0.0    1.55
     191    2100       1       8      22    10.0    98.6    8.22   184.5     0.0     0.0     0.0    0.00
     192    2100       1       8      23    10.0    98.4    8.22   184.5     0.0     0.0     0.0    0.00
     193    2100       1       9       0     9.8    97.6    8.54   184.3     0.0     0.0     0.0    0.00
     194    2100       1       9       1     9.7    96.8    8.97   184.1     0.0     0.0     0.0    0.00
     195    2100       1       9       2     9.4    96.0    9.29   184.0     0.0     0.0     0.0    0.00
     196    2100       1       9       3     9.4    96.5   10.35   183.5     0.0     0.0     0.0    0.18
     197    2100       1       9       4     9.4    97.0   11.52   192.5     0.0     0.0     0.0    1.48
     198    2100       1       9       5     9.4    97.6   12.59   192.3     0.0     0.0     0.0    2.31
     199    2100       1       9       6     9.6    96.2   11.52   192.5     0.0     0.0     0.0    1.24
     200    2100       1       9       7     9.8    94.9   10.57   229.3     0.0     0.0     0.0    0.78
     201    2100       1       9       8    10.0    93.5    9.50   229.2     0.0     0.0     0.0    0.00
     202    2100       1       9       9     9.9    92.5    8.76   229.2     0.0     0.0     0.0    0.00
     203    2100       1       9      10     9.7    91.3    8.11   229.1     2.5     2.5     0.0    0.00
     204    2100       1       9      11     9.6    90.2    7.36   229.0     9.0     9.0     0.0    0.00
     205    2100       1       9      12     9.7    90.0    7.69   229.1    12.7    12.7     0.0    0.00
     206    2100       1       9      13     9.9    89.6    8.12   220.3    20.6    20.6     0.0    0.00
     207    2100       1       9      14    10.0    89.4    8.44   220.3    23.6    23.6     0.0    0.00
     208    2100       1       9      15     9.9    90.5    8.76   220.3     8.0     8.0     0.0    0.00
